Z,Symbol,Name,Group,Period,Config,outer_orbital,n_outer,Z_eff,IE_predicted_eV,IE_experimental_eV,IE_error_pct
1,H,Hydrogen,1,1,1s1,1s,1,1.0,13.6,13.6,0.0
2,He,Helium,18,1,1s2,1s,1,1.65,37.02,24.59,50.6
3,Li,Lithium,1,2,1s2 2s1,2s,2,1.276,5.53,5.39,2.7
4,Be,Beryllium,2,2,1s2 2s2,2s,2,1.926,12.61,9.32,35.3
5,B,Boron,13,2,1s2 2s2 2p1,2p,2,2.558,22.24,8.3,168.1
6,C,Carbon,14,2,1s2 2s2 2p2,2p,2,3.208,34.99,11.26,210.7
7,N,Nitrogen,15,2,1s2 2s2 2p3,2p,2,3.858,50.6,14.53,248.1
8,O,Oxygen,16,2,1s2 2s2 2p4,2p,2,4.508,69.08,13.62,407.3
9,F,Fluorine,17,2,1s2 2s2 2p5,2p,2,5.158,90.44,17.42,419.1
10,Ne,Neon,18,2,1s2 2s2 2p6,2p,2,5.808,114.67,21.57,431.8
11,Na,Sodium,1,3,1s2 2s2 2p6 3s1,3s,3,2.146,6.96,5.14,35.4
12,Mg,Magnesium,2,3,1s2 2s2 2p6 3s2,3s,3,2.796,11.81,7.65,54.5
13,Al,Aluminum,13,3,1s2 2s2 2p6 3s2 3p1,3p,3,3.428,17.75,5.99,196.6
14,Si,Silicon,14,3,1s2 2s2 2p6 3s2 3p2,3p,3,4.078,25.13,8.15,208.2
15,P,Phosphorus,15,3,1s2 2s2 2p6 3s2 3p3,3p,3,4.728,33.77,10.49,222.1
16,S,Sulfur,16,3,1s2 2s2 2p6 3s2 3p4,3p,3,5.378,43.7,10.36,321.8
17,Cl,Chlorine,17,3,1s2 2s2 2p6 3s2 3p5,3p,3,6.028,54.9,12.97,323.4
18,Ar,Argon,18,3,1s2 2s2 2p6 3s2 3p6,3p,3,6.678,67.38,15.76,327.5
19,K,Potassium,1,4,1s2 2s2 2p6 3s2 3p6 4s1,4s,4,2.314,4.55,4.34,4.8
20,Ca,Calcium,2,4,1s2 2s2 2p6 3s2 3p6 4s2,4s,4,2.964,7.47,6.11,22.1
21,Sc,Scandium,13,4,1s2 2s2 2p6 3s2 3p6 4s2 3d1,4s,4,3.102,8.18,6.56,24.6
22,Ti,Titanium,14,4,1s2 2s2 2p6 3s2 3p6 4s2 3d2,4s,4,3.24,8.92,6.83,30.7
23,V,Vanadium,15,4,1s2 2s2 2p6 3s2 3p6 4s2 3d3,4s,4,3.378,9.7,6.75,43.8
24,Cr,Chromium,16,4,1s2 2s2 2p6 3s2 3p6 4s1 3d5,4s,4,3.004,7.67,6.77,13.3
25,Mn,Manganese,17,4,1s2 2s2 2p6 3s2 3p6 4s2 3d5,4s,4,3.654,11.35,7.43,52.6
26,Fe,Iron,18,4,1s2 2s2 2p6 3s2 3p6 4s2 3d6,4s,4,3.792,12.22,7.9,54.7
27,Co,Cobalt,19,4,1s2 2s2 2p6 3s2 3p6 4s2 3d7,4s,4,3.93,13.13,7.88,66.6
28,Ni,Nickel,20,4,1s2 2s2 2p6 3s2 3p6 4s2 3d8,4s,4,4.068,14.06,7.64,84.1
29,Cu,Copper,21,4,1s2 2s2 2p6 3s2 3p6 4s1 3d10,4s,4,3.694,11.6,7.73,50.1
30,Zn,Zinc,22,4,1s2 2s2 2p6 3s2 3p6 4s2 3d10,4s,4,4.344,16.04,9.39,70.7
31,Ga,Gallium,23,4,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p1,4p,4,4.976,21.04,6.0,250.8
32,Ge,Germanium,24,4,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p2,4p,4,5.626,26.9,7.9,240.6
33,As,Arsenic,25,4,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p3,4p,4,6.276,33.48,9.79,242.0
34,Se,Selenium,26,4,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p4,4p,4,6.926,40.77,9.75,318.0
35,Br,Bromine,27,4,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p5,4p,4,7.576,48.78,11.81,312.9
36,Kr,Krypton,28,4,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6,4p,4,8.226,57.51,14.0,310.8
37,Rb,Rubidium,1,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1,5s,5,2.692,3.94,4.18,5.6
38,Sr,Strontium,2,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2,5s,5,3.342,6.08,5.7,6.7
39,Y,Yttrium,13,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d1,5s,5,3.48,6.59,6.22,6.0
40,Zr,Zirconium,14,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d2,5s,5,3.618,7.12,6.63,7.3
41,Nb,Niobium,15,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d4,5s,5,3.244,5.72,6.76,15.3
42,Mo,Molybdenum,16,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d5,5s,5,3.382,6.22,7.09,12.3
43,Tc,Technetium,17,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d5,5s,5,4.032,8.84,7.28,21.5
44,Ru,Ruthenium,18,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d7,5s,5,3.658,7.28,7.36,1.1
45,Rh,Rhodium,19,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d8,5s,5,3.796,7.84,7.46,5.1
46,Pd,Palladium,12,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 4d10,4d,4,11.978,121.93,8.34,1362.6
47,Ag,Silver,21,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s1 4d10,5s,5,4.072,9.02,7.58,19.0
48,Cd,Cadmium,22,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10,5s,5,4.722,12.13,8.99,34.8
49,In,Indium,23,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p1,5p,5,5.354,15.59,5.79,169.5
50,Sn,Tin,24,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p2,5p,5,6.004,19.61,7.34,167.0
51,Sb,Antimony,25,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p3,5p,5,6.654,24.08,9.01,167.3
52,Te,Tellurium,26,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p4,5p,5,7.304,29.02,8.96,223.9
53,I,Iodine,27,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p5,5p,5,7.954,34.41,10.45,229.3
54,Xe,Xenon,28,5,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6,5p,5,8.604,40.27,12.13,232.0
55,Cs,Cesium,1,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1,6s,6,3.07,3.56,3.89,8.6
56,Ba,Barium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2,6s,6,3.72,5.23,5.21,0.3
57,La,Lanthanum,13,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 5d1,6s,6,3.858,5.62,5.58,0.8
58,Ce,Cerium,13,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f1 5d1,6s,6,3.879,5.68,5.54,2.6
59,Pr,Praseodymium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f3,6s,6,3.783,5.41,5.47,1.2
60,Nd,Neodymium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f4,6s,6,3.804,5.47,5.53,1.1
61,Pm,Promethium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f5,6s,6,3.825,5.53,5.58,1.0
62,Sm,Samarium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f6,6s,6,3.846,5.59,5.64,1.0
63,Eu,Europium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f7,6s,6,3.867,5.65,5.67,0.4
64,Gd,Gadolinium,13,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f7 5d1,6s,6,4.005,6.06,6.15,1.5
65,Tb,Terbium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f9,6s,6,3.909,5.77,5.86,1.6
66,Dy,Dysprosium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f10,6s,6,3.93,5.83,5.94,1.8
67,Ho,Holmium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f11,6s,6,3.951,5.9,6.02,2.1
68,Er,Erbium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f12,6s,6,3.972,5.96,6.11,2.4
69,Tm,Thulium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f13,6s,6,3.993,6.02,6.18,2.6
70,Yb,Ytterbium,2,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14,6s,6,4.014,6.09,6.25,2.7
71,Lu,Lutetium,13,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d1,6s,6,4.152,6.51,5.43,20.0
72,Hf,Hafnium,14,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d2,6s,6,4.29,6.95,6.83,1.9
73,Ta,Tantalum,15,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d3,6s,6,4.428,7.41,7.55,1.9
74,W,Tungsten,16,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d4,6s,6,4.566,7.87,7.86,0.1
75,Re,Rhenium,17,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d5,6s,6,4.704,8.36,7.83,6.7
76,Os,Osmium,18,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d6,6s,6,4.842,8.86,8.44,5.0
77,Ir,Iridium,19,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d7,6s,6,4.98,9.37,8.97,4.5
78,Pt,Platinum,20,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1 4f14 5d9,6s,6,4.606,8.01,8.96,10.6
79,Au,Gold,21,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1 4f14 5d10,6s,6,4.744,8.5,9.23,7.9
80,Hg,Mercury,22,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10,6s,6,5.394,10.99,10.44,5.3
81,Tl,Thallium,23,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p1,6p,6,6.026,13.72,6.11,124.6
82,Pb,Lead,24,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p2,6p,6,6.676,16.83,7.42,127.0
83,Bi,Bismuth,25,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p3,6p,6,7.326,20.27,7.29,178.2
84,Po,Polonium,26,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p4,6p,6,7.976,24.03,8.42,185.5
85,At,Astatine,27,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p5,6p,6,8.626,28.11,9.32,201.6
86,Rn,Radon,28,6,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6,6p,6,9.276,32.5,10.75,202.4
87,Fr,Francium,1,7,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s1,7s,7,3.742,3.89,4.07,4.6
88,Ra,Radium,2,7,1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2,7s,7,4.392,5.35,5.28,1.4
